Index,passenger_name,Born,Died,Age,age_at_death,gender,marital_status,category,ticket_class,job_group,ticket,cabin,embarked,disembarked
177,Grocott Ernest,1882,1947,29,64,Male,,Crew,,Carpathia Crew,,,,
178,Hague Mary E.,1883,,29,,Female,,Crew,,Carpathia Crew,,,,
179,Hall John A.,1883,,29,,Male,,Crew,,Carpathia Crew,,,,
180,Hankinson Thomas William,1857,1936,54,78,Male,Married,Crew,,Carpathia Crew,,,,
181,Hatton John,1883,,29,,Male,,Crew,,Carpathia Crew,,,,
182,Hawley George Reginald Chalmers,1888,1931,24,43,Male,Single,Crew,,Carpathia Crew,,,,
183,Hill C.,1864,,48,,Male,,Crew,,Carpathia Crew,,,,
184,Holliday J. A.,1874,,38,,Male,,Crew,,Carpathia Crew,,,,
185,Holmes Thomas Alfred,1875,1954,36,78,Male,Married,Crew,,Carpathia Crew,,,,
186,Hope Thomas,1897,,15,,Male,,Crew,,Carpathia Crew,,,,
187,Howarth Joseph,1891,1943,20,51,Male,Single,Crew,,Carpathia Crew,,,,
188,Hughes Evan Henry,1879,1963,33,84,Male,Married,Crew,,Carpathia Crew,,,,
189,Indelicato Pasquale,1873,,39,,Male,,Crew,,Carpathia Crew,,,,
190,Irvine Joseph,1889,,23,,Male,,Crew,,Carpathia Crew,,,,
191,Javanovic Milan,1884,,28,,Male,,Crew,,Carpathia Crew,,,,
192,Johnson Fredrick William,1888,,23,,Male,Single,Crew,,Carpathia Crew,,,,
193,Johnston Alexander Braid,1852,1928,58,74,Male,Married,Crew,,Carpathia Crew,,,,
194,Jones Charles,1875,,37,,Male,,Crew,,Carpathia Crew,,,,
195,Jones Henry,1875,,37,,Male,,Crew,,Carpathia Crew,,,,
196,Jones James,1891,,21,,Male,,Crew,,Carpathia Crew,,,,
197,Just Louis,1862,,50,,Male,,Crew,,Carpathia Crew,,,,
198,Kappel Louis,1878,1963,33,85,Male,,Crew,,Carpathia Crew,,,,
199,Karageorge Andrew,1871,1913,41,42,Male,,Crew,,Carpathia Crew,,,,
200,Kelly John,1860,,52,,Male,,Crew,,Carpathia Crew,,,,
201,Kelly John J.,1885,,27,,Male,,Crew,,Carpathia Crew,,,,
202,Kennedy Charles Henry,1881,1943,30,61,Male,Single,Crew,,Carpathia Crew,,,,
203,King Arthur,1892,1974,19,81,Male,Single,Crew,,Carpathia Crew,,,,
204,Kirk Joseph,1882,1955,29,72,Male,,Crew,,Carpathia Crew,,,,
205,Kirk Patrick,1892,1934,19,41,Male,,Crew,,Carpathia Crew,,,,
206,Kirkpatrick John James,1892,1978,20,86,Male,Single,Crew,,Carpathia Crew,,,,
207,Klor Giuseppe,1894,,18,,Male,,Crew,,Carpathia Crew,,,,
208,Kormoski Wito,1890,,22,,Male,,Crew,,Carpathia Crew,,,,
209,Kovacevic Matteo,1895,,17,,Male,,Crew,,Carpathia Crew,,,,
210,Kreglia Mario,1894,,18,,Male,,Crew,,Carpathia Crew,,,,
211,Kukac Velko,1893,,19,,Male,,Crew,,Carpathia Crew,,,,
212,Kukina Giovanni,1896,,16,,Male,,Crew,,Carpathia Crew,,,,
213,Kumbotovic Antonio,1875,,37,,Male,,Crew,,Carpathia Crew,,,,
214,Langendorff Lajos,1896,,16,,Male,,Crew,,Carpathia Crew,,,,
215,Lawrenson Thomas,1889,1924,22,34,Male,Single,Crew,,Carpathia Crew,,,,
216,Lee Harold Hewitt,1890,1974,22,84,Male,Single,Crew,,Carpathia Crew,,,,
217,Lengyel Arpad,1886,,26,,Male,,Crew,,Carpathia Crew,,,,
218,Lewin Christopher Carrigue,1883,1957,29,73,Male,Married,Crew,,Carpathia Crew,,,,
219,Liberato Rocco,1886,,26,,Male,,Crew,,Carpathia Crew,,,,
220,Lilgeati Pasquale,1871,,41,,Male,,Crew,,Carpathia Crew,,,,
221,Limpic Giovanni,1895,,17,,Male,,Crew,,Carpathia Crew,,,,
222,Little James,1873,,39,,Male,,Crew,,Carpathia Crew,,,,
223,Livermore Vernon Hyde St Lawrence,1880,1964,31,84,Male,Single,Crew,,Carpathia Crew,,,,
224,Ljubnic Giovanni,1871,,41,,Male,,Crew,,Carpathia Crew,,,,
225,Lubicic Francesco,1881,,31,,Male,,Crew,,Carpathia Crew,,,,
226,Lubicic Matteo,1878,,34,,Male,,Crew,,Carpathia Crew,,,,
227,Lubicic Matteo,1885,,27,,Male,,Crew,,Carpathia Crew,,,,
228,Lustovic Giovanni,1879,,33,,Male,,Crew,,Carpathia Crew,,,,
229,Macdonald Joseph,1885,1916,26,30,Male,Single,Crew,,Carpathia Crew,,,,
230,Maddocks Joseph,1895,,16,,Male,Single,Crew,,Carpathia Crew,,,,
231,Malaro Antonio,1893,,19,,Male,,Crew,,Carpathia Crew,,,,
232,Manson Thomas,1843,1932,69,89,Male,Widowed,Crew,,Carpathia Crew,,,,
233,Marcon Matteo,1884,,28,,Male,,Crew,,Carpathia Crew,,,,
234,Margan Dragutin,1890,,22,,Male,,Crew,,Carpathia Crew,,,,
235,Marosy Rudolf,1882,1946,28,62,Male,,Crew,,Carpathia Crew,,,,
236,Marshall Henry,1873,,39,,Male,,Crew,,Carpathia Crew,,,,
237,Marsilio Vincenzo,1872,,40,,Male,,Crew,,Carpathia Crew,,,,
238,Marsilo Bernardo,1892,,20,,Male,,Crew,,Carpathia Crew,,,,
239,Martin Ernest,1891,,21,,Male,,Crew,,Carpathia Crew,,,,
240,Massa Maria,1867,,45,,Female,,Crew,,Carpathia Crew,,,,
241,Matin Gabre Krsto,1872,,40,,Male,,Crew,,Carpathia Crew,,,,
242,Matkovic Liviati,1896,,16,,Male,,Crew,,Carpathia Crew,,,,
243,Mattesi Antonio,1892,1969,19,76,Male,Single,Crew,,Carpathia Crew,,,,
244,McCroy Edward,1875,,37,,Male,,Crew,,Carpathia Crew,,,,
245,McDonald A.,1886,,26,,Male,,Crew,,Carpathia Crew,,,,
246,McDonald John,1885,,27,,Male,,Crew,,Carpathia Crew,,,,
247,McGee Francis (Frank) Edward,1876,,36,,Male,,Crew,,Carpathia Crew,,,,
248,McGuire John Harold,1885,,27,,Male,,Crew,,Carpathia Crew,,,,
249,McHaeg James,1876,,36,,Male,,Crew,,Carpathia Crew,,,,
250,McIlroy John,1890,,22,,Male,,Crew,,Carpathia Crew,,,,
251,McLean A.,1896,,16,,Male,,Crew,,Carpathia Crew,,,,
252,McLean Francis,1882,,30,,Male,,Crew,,Carpathia Crew,,,,
253,McManus J.,1862,,50,,Male,,Crew,,Carpathia Crew,,,,
254,McMath Herbert,1887,1925,25,37,Male,Single,Crew,,Carpathia Crew,,,,
255,McQuair John,1891,1917,20,25,Male,,Crew,,Carpathia Crew,,,,
256,Meadows Henry,1883,,29,,Male,,Crew,,Carpathia Crew,,,,
257,Melgatic Mila,1880,,32,,Male,,Crew,,Carpathia Crew,,,,
258,Mercer R.,1898,,14,,Male,,Crew,,Carpathia Crew,,,,
259,Milotic Antonio,1893,,19,,Male,,Crew,,Carpathia Crew,,,,
260,Milotic Jakomar,1894,,18,,Male,,Crew,,Carpathia Crew,,,,
261,Morgan A.,1892,,20,,Male,,Crew,,Carpathia Crew,,,,
262,Murphy Thomas Patrick,1884,,28,,Male,,Crew,,Carpathia Crew,,,,
263,Nacinovic Joseph,1886,,26,,Male,,Crew,,Carpathia Crew,,,,
264,Nacinovic Matteo,1879,,33,,Male,,Crew,,Carpathia Crew,,,,
265,Nagulon Kosta,1882,,30,,Male,,Crew,,Carpathia Crew,,,,
266,Newbold Hubert Hutchinson,1891,1950,21,59,Male,Single,Crew,,Carpathia Crew,,,,
267,Novakovic Frank,1892,,20,,Male,,Crew,,Carpathia Crew,,,,
268,O'Brien Robert,1893,1943,18,49,Male,Single,Crew,,Carpathia Crew,,,,
269,O'Connor Thomas David,1895,1955,17,59,Male,Single,Crew,,Carpathia Crew,,,,
270,Orefice Francesco,1884,,28,,Male,,Crew,,Carpathia Crew,,,,
271,Owen Cecil Frederick,1891,,21,,Male,,Crew,,Carpathia Crew,,,,
272,Owens Peter,1864,,48,,Male,,Crew,,Carpathia Crew,,,,
273,Owens William,1889,1959,22,69,Male,Married,Crew,,Carpathia Crew,,,,
274,Packer John,1891,,21,,Male,,Crew,,Carpathia Crew,,,,
275,Parkes Leo Francis,1888,1928,23,40,Male,Married,Crew,,Carpathia Crew,,,,
276,Pasta Vittorio,1874,,38,,Male,,Crew,,Carpathia Crew,,,,
277,Pavin Sine,1871,,41,,Male,,Crew,,Carpathia Crew,,,,
278,Perry Reuben,1861,1941,50,80,Male,Married,Crew,,Carpathia Crew,,,,
279,Persic Matteo,1893,,19,,Male,,Crew,,Carpathia Crew,,,,
280,Persi? Antonio,1894,1972,17,78,Male,Single,Crew,,Carpathia Crew,,,,
281,Persusic Lodovico,1885,,27,,Male,,Crew,,Carpathia Crew,,,,
282,Perusic Stephen,1888,,24,,Male,,Crew,,Carpathia Crew,,,,
283,Pesko Gertrude,1858,,54,,Female,,Crew,,Carpathia Crew,,,,
284,Poole Horace,1897,,15,,Male,,Crew,,Carpathia Crew,,,,
285,Potocnyaki Francesco,1891,,21,,Male,,Crew,,Carpathia Crew,,,,
286,Pratt William J.,1893,,19,,Male,,Crew,,Carpathia Crew,,,,
287,Purvis Robert,1893,1969,18,75,Male,Single,Crew,,Carpathia Crew,,,,
288,Quayle Amy,1878,,34,,Female,Widowed,Crew,,Carpathia Crew,,,,
289,R th Gunt r,1891,,21,,Male,,Crew,,Carpathia Crew,,,,
290,Rakamaric Giovanni,1892,,20,,Male,,Crew,,Carpathia Crew,,,,
291,Rascher Gottlieb,1891,,21,,Male,,Crew,,Carpathia Crew,,,,
292,Razel Giuseppe,1888,,24,,Male,,Crew,,Carpathia Crew,,,,
